,dr7objid,ra,dec,p_bar,psi_sparcfire,psi_gz2,logMstar,NSAID,ISDSS,INED,IAUNAME,Z,ZDIST,SERSIC_BA,SERSIC_PHI,PETRO_THETA,PETRO_BA90,PETRO_PHI90,PETRO_BA50,PETRO_PHI50,RUN,CAMCOL,FIELD,RERUN,ELPETRO_MASS,SERSIC_MASS,t01_smooth_or_features_a02_features_or_disk_debiased,t02_edgeon_a05_no_debiased,t04_spiral_a08_spiral_debiased,t11_arms_number_a31_1_flag,t11_arms_number_a32_2_flag,t11_arms_number_a33_3_flag,t11_arms_number_a34_4_flag,t11_arms_number_a36_more_than_4_flag,t11_arms_number_a37_cant_tell_flag
939,587738617565282330,177.55829,37.775158000000005,0.6016116863855218,-999.0,16.396267704512912,11.022224600672978,432464.0,437821.0,-1.0,J115013.98+374630.6,0.054958683,0.054964907,0.72285306,21.346558,7.083867,0.78798515,14.741943,0.8295032,5.2910767,4392.0,5.0,194.0,301,27813118000.0,33190887000.0,0.9369999766349792,1.0,0.9999529227306511,0,0,0,0,0,0
940,587739457761640588,219.97986,27.046290999999997,0.5637423215163861,5.484451770782472,20.869065347258424,10.795938802810669,455072.0,460434.0,-1.0,J143955.16+270246.6,0.051586982,0.051642086,0.6192188,49.707092,17.29755,0.7223789,52.215256,0.83317393,53.030914,4588.0,2.0,93.0,301,24003717000.0,43026650000.0,1.0,1.0,0.9976067375252405,0,1,0,0,0,0
941,587733399710466054,221.62498,50.025209999999994,0.2282391930012498,-999.0,19.571053523374893,10.556103110697508,209277.0,213771.0,159443.0,J144629.99+500130.7,0.042653237,0.04305634,0.8523196,141.84698,10.253274,0.9265968,153.15741,0.93583715,122.489044,3177.0,6.0,96.0,301,21568480000.0,26384615000.0,0.6420000195503235,1.0,0.9959734001241964,0,1,0,0,0,0
942,587741829119934575,164.19397,23.431097,0.9127517582399469,28.56418418884277,19.873276264576432,10.901898594909088,512801.0,518378.0,-1.0,J105646.55+232551.9,0.051538132,0.05127472,0.8678275,124.47827,9.539124,0.92685944,127.75366,0.7993592,108.64383,5140.0,3.0,85.0,301,28616930000.0,33410157000.0,1.0,0.9829297276398633,1.0,0,0,0,0,0,0
943,587729157906890937,227.21295,2.8007154,0.19683017929987956,-999.0,18.179013533250025,10.69932441581082,88908.0,91763.0,163969.0,J150851.10+024802.6,0.044934746,0.044694427,0.8089813,151.39706,12.398714,0.8477213,149.56314,0.87254316,120.93451,2327.0,6.0,32.0,301,17799496000.0,22115780000.0,1.0,0.9825281736525875,1.0,0,0,0,0,0,0
944,587729228764020844,244.1876,52.016785,0.7287225913676629,-999.0,23.233732591167765,10.344058999911775,686624.0,-1.0,-1.0,J161644.69+520046.9,0.032639295,0.033212688,0.71560293,149.24832,10.394143,0.4803438,141.03165,0.30460206,132.12994,2206.0,5.0,152.0,301,12411227000.0,8421815300.0,0.968999981880188,1.0,0.9861650777659412,0,1,0,0,0,0
945,588007003657339112,246.61395,44.11282,0.042991100513557964,-999.0,16.95873449415947,10.049385382930128,99379.0,102708.0,179888.0,J162627.34+440646.2,0.0312994,0.03180738,0.62190586,175.12842,15.7668085,0.6975211,174.02567,0.84243894,171.23291,2299.0,6.0,317.0,301,6906987500.0,8734630000.0,0.8809999823570251,0.9618636063974708,1.0,0,0,0,0,0,0
946,587739720839790663,225.12585,23.929325,0.9748520683709908,32.917373657226555,23.996698046773115,10.718282482193008,460545.0,465908.0,162267.0,J150030.20+235545.5,0.04745534,0.04750756,0.4962338,37.138245,15.604446,0.7094002,30.663849,0.78057957,36.987946,4649.0,4.0,267.0,301,21040452000.0,30043095000.0,1.0,0.9512782214255907,1.0,0,1,0,0,0,0
947,587736804545593484,195.92056000000002,14.918603,0.1000152867927504,21.203765869140625,16.280242003667105,10.818698943276827,369772.0,375110.0,130391.0,J130340.93+145506.9,0.052079443,0.051768847,0.93153566,75.69763,11.00632,0.93917894,75.92799,0.96761656,123.70828,3970.0,4.0,93.0,301,19769332000.0,24996682000.0,0.9850000143051147,1.0,1.0,0,0,0,0,0,0
948,587736898497609802,234.787,32.407059999999994,0.9325198645251636,-999.0,16.928799479788356,10.127767393974217,314914.0,320157.0,169237.0,J153908.87+322425.4,0.031596527,0.031857923,0.7512751,84.98395,18.95615,0.8205964,85.679596,0.7858334,88.02655,3992.0,3.0,87.0,301,7763068400.0,12139349000.0,1.0,1.0,0.9889783705040254,0,0,0,0,0,0
